"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Description1","Description2","Description3","Description4","Description5","Description6","Description7","Description8","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Total","Aust"
"CtG1A.3","2020-22","Life expectancy at birth","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Females","Upper 95% confidence intervals","Second most disadvantaged 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","76.5"
"CtG1A.3","2020-22","Life expectancy at birth","All ages","Males","Non-Indigenous people","All areas","Estimated life expectancy at birth","","","Non-Indigenous people","","Males","","Second most disadvantaged 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","79.5"
"CtG1A.3","2020-22","Life expectancy at birth","All ages","Females","Non-Indigenous people","All areas","Estimated life expectancy at birth","","","Non-Indigenous people","","Females","","Second most disadvantaged 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","83.0"
"CtG1A.3","2020-22","Life expectancy at birth","All ages","Males","All people","All areas","Estimated life expectancy at birth","","","Difference between Aboriginal and Torres Strait Islander and non-Indigenous life expectancies at birth","","Males","","Second most disadvantaged 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","7.8"
"CtG1A.3","2020-22","Life expectancy at birth","All ages","Females","All people","All areas","Estimated life expectancy at birth","","","Difference between Aboriginal and Torres Strait Islander and non-Indigenous life expectancies at birth","","Females","","Second most disadvantaged 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","7.3"
"CtG1A.3","2020-22","Life expectancy at birth","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Males","","Middle 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","74.3"
"CtG1A.3","2020-22","Life expectancy at birth","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Males","Lower 95% confidence intervals","Middle 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","73.4"
"CtG1A.3","2020-22","Life expectancy at birth","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Males","Upper 95% confidence intervals","Middle 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","75.6"
"CtG1A.3","2020-22","Life expectancy at birth","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Females","","Middle 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","78.0"
"CtG1A.3","2020-22","Life expectancy at birth","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Females","Lower 95% confidence intervals","Middle 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","77.2"
"CtG1A.3","2020-22","Life expectancy at birth","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Females","Upper 95% confidence intervals","Middle 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","79.2"
"CtG1A.3","2020-22","Life expectancy at birth","All ages","Males","Non-Indigenous people","All areas","Estimated life expectancy at birth","","","Non-Indigenous people","","Males","","Middle 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","80.8"
"CtG1A.3","2020-22","Life expectancy at birth","All ages","Females","Non-Indigenous people","All areas","Estimated life expectancy at birth","","","Non-Indigenous people","","Females","","Middle 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","84.0"
"CtG1A.3","2020-22","Life expectancy at birth","All ages","Males","All people","All areas","Estimated life expectancy at birth","","","Difference between Aboriginal and Torres Strait Islander and non-Indigenous life expectancies at birth","","Males","","Middle 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","6.5"
"CtG1A.3","2020-22","Life expectancy at birth","All ages","Females","All people","All areas","Estimated life expectancy at birth","","","Difference between Aboriginal and Torres Strait Islander and non-Indigenous life expectancies at birth","","Females","","Middle 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","6.0"
"CtG1A.3","2020-22","Life expectancy at birth","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Males","","Least disadvantaged 40%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","74.6"
"CtG1A.3","2020-22","Life expectancy at birth","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Males","Lower 95% confidence intervals","Least disadvantaged 40%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","73.3"
"CtG1A.3","2020-22","Life expectancy at birth","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Males","Upper 95% confidence intervals","Least disadvantaged 40%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","76.1"
"CtG1A.3","2020-22","Life expectancy at birth","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Females","","Least disadvantaged 40%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","77.0"
"CtG1A.3","2020-22","Life expectancy at birth","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Females","Lower 95% confidence intervals","Least disadvantaged 40%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","75.7"
"CtG1A.3","2020-22","Life expectancy at birth","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Females","Upper 95% confidence intervals","Least disadvantaged 40%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","78.3"
"CtG1A.3","2020-22","Life expectancy at birth","All ages","Males","Non-Indigenous people","All areas","Estimated life expectancy at birth","","","Non-Indigenous people","","Males","","Least disadvantaged 40%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","82.0"
"CtG1A.3","2020-22","Life expectancy at birth","All ages","Females","Non-Indigenous people","All areas","Estimated life expectancy at birth","","","Non-Indigenous people","","Females","","Least disadvantaged 40%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","84.6"
"CtG1A.3","2020-22","Life expectancy at birth","All ages","Males","All people","All areas","Estimated life expectancy at birth","","","Difference between Aboriginal and Torres Strait Islander and non-Indigenous life expectancies at birth","","Males","","Least disadvantaged 40%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","7.4"
"CtG1A.3","2020-22","Life expectancy at birth","All ages","Females","All people","All areas","Estimated life expectancy at birth","","","Difference between Aboriginal and Torres Strait Islander and non-Indigenous life expectancies at birth","","Females","","Least disadvantaged 40%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","7.6"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Males","","Most disadvantaged 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","69.7"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Males","Lower 95% confidence intervals","Most disadvantaged 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","68.9"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Males","Upper 95% confidence intervals","Most disadvantaged 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","70.5"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Females","","Most disadvantaged 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","73.8"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Females","Lower 95% confidence intervals","Most disadvantaged 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","73.0"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Females","Upper 95% confidence intervals","Most disadvantaged 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","74.6"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Males","Non-Indigenous people","All areas","Estimated life expectancy at birth","","","Non-Indigenous people","","Males","","Most disadvantaged 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","77.8"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Females","Non-Indigenous people","All areas","Estimated life expectancy at birth","","","Non-Indigenous people","","Females","","Most disadvantaged 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","81.9"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Males","All people","All areas","Estimated life expectancy at birth","","","Difference between Aboriginal and Torres Strait Islander and non-Indigenous life expectancies at birth","","Males","","Most disadvantaged 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","8.1"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Females","All people","All areas","Estimated life expectancy at birth","","","Difference between Aboriginal and Torres Strait Islander and non-Indigenous life expectancies at birth","","Females","","Most disadvantaged 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","8.1"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Males","","Second most disadvantaged 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","71.8"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Males","Lower 95% confidence intervals","Second most disadvantaged 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","70.9"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Males","Upper 95% confidence intervals","Second most disadvantaged 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","72.7"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Females","","Second most disadvantaged 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","76.7"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Females","Lower 95% confidence intervals","Second most disadvantaged 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","75.8"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Females","Upper 95% confidence intervals","Second most disadvantaged 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","77.6"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Males","Non-Indigenous people","All areas","Estimated life expectancy at birth","","","Non-Indigenous people","","Males","","Second most disadvantaged 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","79.0"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Females","Non-Indigenous people","All areas","Estimated life expectancy at birth","","","Non-Indigenous people","","Females","","Second most disadvantaged 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","82.7"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Males","All people","All areas","Estimated life expectancy at birth","","","Difference between Aboriginal and Torres Strait Islander and non-Indigenous life expectancies at birth","","Males","","Second most disadvantaged 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","7.2"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Females","All people","All areas","Estimated life expectancy at birth","","","Difference between Aboriginal and Torres Strait Islander and non-Indigenous life expectancies at birth","","Females","","Second most disadvantaged 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","6.0"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Males","","Middle 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","72.6"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Males","Lower 95% confidence intervals","Middle 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","71.4"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Males","Upper 95% confidence intervals","Middle 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","73.8"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Females","","Middle 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","75.9"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Females","Lower 95% confidence intervals","Middle 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","74.8"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Females","Upper 95% confidence intervals","Middle 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","77.0"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Males","Non-Indigenous people","All areas","Estimated life expectancy at birth","","","Non-Indigenous people","","Males","","Middle 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","80.3"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Females","Non-Indigenous people","All areas","Estimated life expectancy at birth","","","Non-Indigenous people","","Females","","Middle 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","83.5"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Males","All people","All areas","Estimated life expectancy at birth","","","Difference between Aboriginal and Torres Strait Islander and non-Indigenous life expectancies at birth","","Males","","Middle 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","7.8"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Females","All people","All areas","Estimated life expectancy at birth","","","Difference between Aboriginal and Torres Strait Islander and non-Indigenous life expectancies at birth","","Females","","Middle 20%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","7.5"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Males","","Least disadvantaged 40%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","74.0"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Males","Lower 95% confidence intervals","Least disadvantaged 40%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","72.8"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Males","Upper 95% confidence intervals","Least disadvantaged 40%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","75.2"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Females","","Least disadvantaged 40%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","77.7"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Females","Lower 95% confidence intervals","Least disadvantaged 40%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","76.6"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Females","Upper 95% confidence intervals","Least disadvantaged 40%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","78.8"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Males","Non-Indigenous people","All areas","Estimated life expectancy at birth","","","Non-Indigenous people","","Males","","Least disadvantaged 40%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","81.6"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Females","Non-Indigenous people","All areas","Estimated life expectancy at birth","","","Non-Indigenous people","","Females","","Least disadvantaged 40%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","84.5"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Males","All people","All areas","Estimated life expectancy at birth","","","Difference between Aboriginal and Torres Strait Islander and non-Indigenous life expectancies at birth","","Males","","Least disadvantaged 40%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","7.7"
"CtG1A.3","2015-17","Life expectancy at birth","All ages","Females","All people","All areas","Estimated life expectancy at birth","","","Difference between Aboriginal and Torres Strait Islander and non-Indigenous life expectancies at birth","","Females","","Least disadvantaged 40%","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","6.8"
"SE1b.1","2019-2023","Leading causes of death","<1 year old","All people","Aboriginal and Torres Strait Islander people","All areas","Infant (children less than 1 year old) deaths per 1000 live births","","<1 year old","Aboriginal and Torres Strait Islander infants","Certain conditions originating in the perinatal period (P00-P96)","","","","","Derived from ABS (unpublished) Causes of Death Australia; ABS Deaths Australia","rate","1.8","","3.2","0.8","6.7","","","9.3","2.9",""
"SE1b.1","2019-2023","Leading causes of death","<1 year old","All people","Aboriginal and Torres Strait Islander people","All areas","Infant (children less than 1 year old) deaths per 1000 live births","","<1 year old","Aboriginal and Torres Strait Islander infants","Sudden Infant Death Syndrome (SIDS) and Sudden Unexpected Death in Infants (SUDI) (R95; R99)","","","","","Derived from ABS (unpublished) Causes of Death Australia; ABS Deaths Australia","rate","1.0","","1.0","np","3.0","","","np","1.0",""
"SE1b.1","2019-2023","Leading causes of death","<1 year old","All people","Aboriginal and Torres Strait Islander people","All areas","Infant (children less than 1 year old) deaths per 1000 live births","","<1 year old","Aboriginal and Torres Strait Islander infants","Congenital malformations; deformations and chromosomal abnormalities (Q00-Q99)","","","","","Derived from ABS (unpublished) Causes of Death Australia; ABS Deaths Australia","rate","0.6","","1.0","0.4","2.1","","","1.8","0.9",""
"SE1b.1","2019-2023","Leading causes of death","<1 year old","All people","Aboriginal and Torres Strait Islander people","All areas","Infant (children less than 1 year old) deaths per 1000 live births","","<1 year old","Aboriginal and Torres Strait Islander infants","Accidental threats to breathing (W75-W84)","","","","","Derived from ABS (unpublished) Causes of Death Australia; ABS Deaths Australia","rate","np","","0.2","0","np","","","np","0.2",""
"SE1b.1","2019-2023","Leading causes of death","<1 year old","All people","Aboriginal and Torres Strait Islander people","All areas","Infant (children less than 1 year old) deaths per 1000 live births","","<1 year old","Aboriginal and Torres Strait Islander infants","Influenza and pneumonia (J09-J18)","","","","","Derived from ABS (unpublished) Causes of Death Australia; ABS Deaths Australia","rate","np","","np","0","0","","","np","0",""
"SE1b.1","2019-2023","Leading causes of death","<1 year old","All people","Aboriginal and Torres Strait Islander people","All areas","Infant (children less than 1 year old) deaths per 1000 live births","","<1 year old","Aboriginal and Torres Strait Islander infants","Total (leading causes)","","","","","Derived from ABS (unpublished) Causes of Death Australia; ABS Deaths Australia","rate","3.5","","5.5","1.5","12.5","","","12.3","5.0",""
"SE1b.1","2019-2023","Leading causes of death","<1 year old","All people","Aboriginal and Torres Strait Islander people","All areas","Infant (children less than 1 year old) deaths per 1000 live births","","<1 year old","Aboriginal and Torres Strait Islander infants","Other causes","","","","","Derived from ABS (unpublished) Causes of Death Australia; ABS Deaths Australia","rate","0.4","","0.5","np","1.4","","","1.6","0.5",""
"SE1b.1","2019-2023","Leading causes of death","<1 year old","All people","Aboriginal and Torres Strait Islander people","All areas","Infant (children less than 1 year old) deaths per 1000 live births","","<1 year old","Aboriginal and Torres Strait Islander infants","Total (all causes)","","","","","Derived from ABS (unpublished) Causes of Death Australia; ABS Deaths Australia","rate","3.9","","6.0","1.5","13.9","","","13.9","5.5",""
"SE1b.1","2019-2023","Leading causes of death","<1 year old","All people","Non-Indigenous people","All areas","Infant (children less than 1 year old) deaths per 1000 live births","","<1 year old","Non-Indigenous infants","Certain conditions originating in the perinatal period (P00-P96)","","","","","Derived from ABS (unpublished) Causes of Death Australia; ABS Deaths Australia","rate","1.6","","2.1","0.8","1.9","","","2.9","1.6",""
"SE1b.1","2019-2023","Leading causes of death","<1 year old","All people","Non-Indigenous people","All areas","Infant (children less than 1 year old) deaths per 1000 live births","","<1 year old","Non-Indigenous infants","Sudden Infant Death Syndrome (SIDS) and Sudden Unexpected Death in Infants (SUDI) (R95; R99)","","","","","Derived from ABS (unpublished) Causes of Death Australia; ABS Deaths Australia","rate","0.2","","0.4","0.2","0.4","","","np","0.3",""
"SE1b.1","2019-2023","Leading causes of death","<1 year old","All people","Non-Indigenous people","All areas","Infant (children less than 1 year old) deaths per 1000 live births","","<1 year old","Non-Indigenous infants","Congenital malformations; deformations and chromosomal abnormalities (Q00-Q99)","","","","","Derived from ABS (unpublished) Causes of Death Australia; ABS Deaths Australia","rate","0.8","","1.1","0.4","0.8","","","1.2","0.8",""
"SE1b.1","2019-2023","Leading causes of death","<1 year old","All people","Non-Indigenous people","All areas","Infant (children less than 1 year old) deaths per 1000 live births","","<1 year old","Non-Indigenous infants","Accidental threats to breathing (W75-W84)","","","","","Derived from ABS (unpublished) Causes of Death Australia; ABS Deaths Australia","rate","0","","0","np","0.1","","","np","0",""
"SE1b.1","2019-2023","Leading causes of death","<1 year old","All people","Non-Indigenous people","All areas","Infant (children less than 1 year old) deaths per 1000 live births","","<1 year old","Non-Indigenous infants","Influenza and pneumonia (J09-J18)","","","","","Derived from ABS (unpublished) Causes of Death Australia; ABS Deaths Australia","rate","0","","np","0","np","","","0","0",""
"SE1b.1","2019-2023","Leading causes of death","<1 year old","All people","Non-Indigenous people","All areas","Infant (children less than 1 year old) deaths per 1000 live births","","<1 year old","Non-Indigenous infants","Total (leading causes)","","","","","Derived from ABS (unpublished) Causes of Death Australia; ABS Deaths Australia","rate","2.7","","3.6","1.3","3.2","","","4.4","2.8",""
"SE1b.1","2019-2023","Leading causes of death","<1 year old","All people","Non-Indigenous people","All areas","Infant (children less than 1 year old) deaths per 1000 live births","","<1 year old","Non-Indigenous infants","Other causes","","","","","Derived from ABS (unpublished) Causes of Death Australia; ABS Deaths Australia","rate","0.2","","0.3","0.2","0.4","","","0.4","0.3",""
"SE1b.1","2019-2023","Leading causes of death","<1 year old","All people","Non-Indigenous people","All areas","Infant (children less than 1 year old) deaths per 1000 live births","","<1 year old","Non-Indigenous infants","Total (all causes)","","","","","Derived from ABS (unpublished) Causes of Death Australia; ABS Deaths Australia","rate","2.9","","3.9","1.6","3.6","","","4.8","3.1",""
"SE1b.1","2019-2023","Leading causes of death","<1 year old","All people","Aboriginal and Torres Strait Islander people","All areas","Infant (children less than 1 year old) deaths","","<1 year old","Aboriginal and Torres Strait Islander infants","Certain conditions originating in the perinatal period (P00-P96)","","","","","ABS (unpublished) Causes of Death Australia","no.","74","","113","12","38","","","63","300",""
"SE1b.1","2019-2023","Leading causes of death","<1 year old","All people","Aboriginal and Torres Strait Islander people","All areas","Infant (children less than 1 year old) deaths","","<1 year old","Aboriginal and Torres Strait Islander infants","Sudden Infant Death Syndrome (SIDS) and Sudden Unexpected Death in Infants (SUDI) (R95; R99)","","","","","ABS (unpublished) Causes of Death Australia","no.","41","","37","2","17","","","4","100",""
"SE1b.1","2019-2023","Leading causes of death","<1 year old","All people","Aboriginal and Torres Strait Islander people","All areas","Infant (children less than 1 year old) deaths","","<1 year old","Aboriginal and Torres Strait Islander infants","Congenital malformations; deformations and chromosomal abnormalities (Q00-Q99)","","","","","ABS (unpublished) Causes of Death Australia","no.","25","","36","6","12","","","12","91",""
"SE1b.1","2019-2023","Leading causes of death","<1 year old","All people","Aboriginal and Torres Strait Islander people","All areas","Infant (children less than 1 year old) deaths","","<1 year old","Aboriginal and Torres Strait Islander infants","Accidental threats to breathing (W75-W84)","","","","","ABS (unpublished) Causes of Death Australia","no.","2","","7","0","3","","","2","18",""
"SE1b.1","2019-2023","Leading causes of death","<1 year old","All people","Aboriginal and Torres Strait Islander people","All areas","Infant (children less than 1 year old) deaths","","<1 year old","Aboriginal and Torres Strait Islander infants","Influenza and pneumonia (J09-J18)","","","","","ABS (unpublished) Causes of Death Australia","no.","2","","1","0","0","","","3","5",""
"SE1b.1","2019-2023","Leading causes of death","<1 year old","All people","Aboriginal and Torres Strait Islander people","All areas","Infant (children less than 1 year old) deaths","","<1 year old","Aboriginal and Torres Strait Islander infants","Total (leading causes)","","","","","ABS (unpublished) Causes of Death Australia","no.","144","","195","21","71","","","83","514",""
"SE1b.1","2019-2023","Leading causes of death","<1 year old","All people","Aboriginal and Torres Strait Islander people","All areas","Infant (children less than 1 year old) deaths","","<1 year old","Aboriginal and Torres Strait Islander infants","Other causes","","","","","ABS (unpublished) Causes of Death Australia","no.","15","","16","3","8","","","11","51",""
