"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Description1","Description2","Description3","Description4","Description5","Description6","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"CtG2A.2","2020","Birthweight","0 years old","Females","Non-Indigenous people","All areas","Total births","","Non-Indigenous children","Females","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","no.","40695","34683","25132","13717","8288","2286","2450","1057","128308"
"CtG2A.2","2020","Birthweight","0 years old","Males","Unknown Indigenous status","All areas","Total births","","Indigenous status not stated","Males","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","no.","923","354","3","0","0","230","0","0","1510"
"CtG2A.2","2020","Birthweight","0 years old","Females","Unknown Indigenous status","All areas","Total births","","Indigenous status not stated","Females","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","no.","803","330","5","0","0","287","2","1","1428"
"CtG2A.2","2019","Birthweight","0 years old","Males","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","","Aboriginal and Torres Strait Islander children","Males","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","90.8","90.6","90.0","87.6","90.8","93.6","np","86.4","89.9"
"CtG2A.2","2019","Birthweight","0 years old","Males","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","","Aboriginal and Torres Strait Islander children","Males","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","1.1","2.2","1.1","1.9","2.4","3.8","np","2.6","0.6"
"CtG2A.2","2019","Birthweight","0 years old","Females","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","","Aboriginal and Torres Strait Islander children","Females","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","89.9","90.3","89.4","87.9","90.3","87.2","np","85.8","89.2"
"CtG2A.2","2019","Birthweight","0 years old","Females","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","","Aboriginal and Torres Strait Islander children","Females","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","1.1","2.2","1.2","1.9","2.6","5.4","np","2.7","0.7"
"CtG2A.2","2019","Birthweight","0 years old","Males","Non-Indigenous people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","","Non-Indigenous children","Males","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","94.2","93.9","93.9","94.3","94.1","93.6","94.7","94.5","94.1"
"CtG2A.2","2019","Birthweight","0 years old","Males","Non-Indigenous people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","","Non-Indigenous children","Males","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.2","0.2","0.3","0.4","0.5","1.0","0.9","1.3","0.1"
"CtG2A.2","2019","Birthweight","0 years old","Females","Non-Indigenous people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","","Non-Indigenous children","Females","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","94.0","93.7","93.6","93.8","94.1","92.8","94.3","94.5","93.8"
"CtG2A.2","2019","Birthweight","0 years old","Females","Non-Indigenous people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","","Non-Indigenous children","Females","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.2","0.3","0.3","0.4","0.5","1.1","0.9","1.4","0.1"
"CtG2A.2","2019","Birthweight","0 years old","Males","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of low birthweight (<2500g)","","Aboriginal and Torres Strait Islander children","Males","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","7.4","7.7","8.3","11.7","8.1","np","np","11.9","8.6"
"CtG2A.2","2019","Birthweight","0 years old","Males","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of low birthweight (<2500g)","","Aboriginal and Torres Strait Islander children","Males","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","1.0","2.0","1.0","1.8","2.3","np","np","2.5","0.6"
"CtG2A.2","2019","Birthweight","0 years old","Females","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of low birthweight (<2500g)","","Aboriginal and Torres Strait Islander children","Females","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","9.0","9.0","9.7","11.4","8.6","np","np","13.4","9.9"
"CtG2A.2","2019","Birthweight","0 years old","Females","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of low birthweight (<2500g)","","Aboriginal and Torres Strait Islander children","Females","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","1.1","2.1","1.1","1.9","2.5","np","np","2.7","0.6"
"CtG2A.2","2019","Birthweight","0 years old","Males","Non-Indigenous people","All areas","Live-born singleton babies of low birthweight (<2500g)","","Non-Indigenous children","Males","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","4.2","4.5","4.5","4.3","4.5","4.6","3.8","4.2","4.3"
"CtG2A.2","2019","Birthweight","0 years old","Males","Non-Indigenous people","All areas","Live-born singleton babies of low birthweight (<2500g)","","Non-Indigenous children","Males","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.2","0.2","0.2","0.3","0.4","0.8","0.7","1.2","0.1"
"CtG2A.2","2019","Birthweight","0 years old","Females","Non-Indigenous people","All areas","Live-born singleton babies of low birthweight (<2500g)","","Non-Indigenous children","Females","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","5.1","5.5","5.7","5.5","5.2","6.3","4.7","4.5","5.4"
"CtG2A.2","2019","Birthweight","0 years old","Females","Non-Indigenous people","All areas","Live-born singleton babies of low birthweight (<2500g)","","Non-Indigenous children","Females","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.2","0.2","0.3","0.4","0.5","1.0","0.8","1.3","0.1"
"CtG2A.2","2019","Birthweight","0 years old","Males","Aboriginal and Torres Strait Islander people","All areas","Total births","","Aboriginal and Torres Strait Islander children","Males","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","no.","2862","700","2762","1165","542","157","94","664","8946"
"CtG2A.2","2019","Birthweight","0 years old","Females","Aboriginal and Torres Strait Islander people","All areas","Total births","","Aboriginal and Torres Strait Islander children","Females","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","no.","2704","680","2632","1089","487","148","85","633","8458"
"CtG2A.2","2019","Birthweight","0 years old","Males","Non-Indigenous people","All areas","Total births","","Non-Indigenous children","Males","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","no.","44281","37447","27259","15134","8843","2436","2659","1130","139189"
"CtG2A.2","2019","Birthweight","0 years old","Females","Non-Indigenous people","All areas","Total births","","Non-Indigenous children","Females","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","no.","41778","35554","25498","14282","8373","2232","2487","1033","131237"
"CtG2A.2","2019","Birthweight","0 years old","Males","Unknown Indigenous status","All areas","Total births","","Indigenous status not stated","Males","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","no.","764","348","3","0","62","304","1","0","1482"
"CtG2A.2","2019","Birthweight","0 years old","Females","Unknown Indigenous status","All areas","Total births","","Indigenous status not stated","Females","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","no.","710","298","6","0","49","269","2","0","1334"
"CtG2A.2","2018","Birthweight","0 years old","Males","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","","Aboriginal and Torres Strait Islander children","Males","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","90.1","90.1","89.7","88.1","88.4","90.5","np","88.3","89.5"
"CtG2A.2","2018","Birthweight","0 years old","Males","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","","Aboriginal and Torres Strait Islander children","Males","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","1.1","2.1","1.2","1.9","2.8","4.7","np","2.4","0.6"
"CtG2A.2","2018","Birthweight","0 years old","Females","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","","Aboriginal and Torres Strait Islander children","Females","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","89.5","88.9","89.2","86.3","86.2","91.1","np","83.3","88.3"
"CtG2A.2","2018","Birthweight","0 years old","Females","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","","Aboriginal and Torres Strait Islander children","Females","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","1.2","2.4","1.2","2.1","3.1","4.8","np","2.9","0.7"
"CtG2A.2","2018","Birthweight","0 years old","Males","Non-Indigenous people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","","Non-Indigenous children","Males","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","94.1","93.9","93.9","94.1","93.8","92.7","94.9","94.8","94.0"
"CtG2A.2","2018","Birthweight","0 years old","Males","Non-Indigenous people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","","Non-Indigenous children","Males","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.2","0.2","0.3","0.4","0.5","1.0","0.9","1.3","0.1"
"CtG2A.2","2018","Birthweight","0 years old","Females","Non-Indigenous people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","","Non-Indigenous children","Females","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","93.9","93.7","94.1","94.3","93.6","92.8","94.1","94.4","93.9"
"CtG2A.2","2018","Birthweight","0 years old","Females","Non-Indigenous people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","","Non-Indigenous children","Females","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.2","0.3","0.3","0.4","0.5","1.1","0.9","1.4","0.1"
"CtG2A.2","2018","Birthweight","0 years old","Males","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of low birthweight (<2500g)","","Aboriginal and Torres Strait Islander children","Males","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","7.9","8.4","8.3","10.3","9.8","np","np","10.6","8.7"
"CtG2A.2","2018","Birthweight","0 years old","Males","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of low birthweight (<2500g)","","Aboriginal and Torres Strait Islander children","Males","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","1.0","2.0","1.1","1.8","2.6","np","np","2.3","0.6"
"CtG2A.2","2018","Birthweight","0 years old","Females","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of low birthweight (<2500g)","","Aboriginal and Torres Strait Islander children","Females","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","9.3","10.3","10.1","13.2","12.7","8.9","np","15.9","10.9"
"CtG2A.2","2018","Birthweight","0 years old","Females","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of low birthweight (<2500g)","","Aboriginal and Torres Strait Islander children","Females","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","1.1","2.3","1.2","2.0","3.0","4.8","np","2.8","0.7"
"CtG2A.2","2018","Birthweight","0 years old","Males","Non-Indigenous people","All areas","Live-born singleton babies of low birthweight (<2500g)","","Non-Indigenous children","Males","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","4.2","4.6","4.4","4.4","4.7","5.3","3.7","4.5","4.4"
"CtG2A.2","2018","Birthweight","0 years old","Males","Non-Indigenous people","All areas","Live-born singleton babies of low birthweight (<2500g)","","Non-Indigenous children","Males","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.2","0.2","0.2","0.3","0.4","0.9","0.7","1.2","0.1"
"CtG2A.2","2018","Birthweight","0 years old","Females","Non-Indigenous people","All areas","Live-born singleton babies of low birthweight (<2500g)","","Non-Indigenous children","Females","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","5.2","5.4","5.2","5.0","5.6","6.6","5.2","5.2","5.3"
"CtG2A.2","2018","Birthweight","0 years old","Females","Non-Indigenous people","All areas","Live-born singleton babies of low birthweight (<2500g)","","Non-Indigenous children","Females","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.2","0.2","0.3","0.4","0.5","1.0","0.9","1.3","0.1"
"CtG2A.2","2018","Birthweight","0 years old","Males","Aboriginal and Torres Strait Islander people","All areas","Total births","","Aboriginal and Torres Strait Islander children","Males","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","no.","2731","750","2563","1131","508","147","74","699","8603"
"CtG2A.2","2018","Birthweight","0 years old","Females","Aboriginal and Torres Strait Islander people","All areas","Total births","","Aboriginal and Torres Strait Islander children","Females","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","no.","2498","669","2457","1072","465","135","78","636","8010"
"CtG2A.2","2018","Birthweight","0 years old","Males","Non-Indigenous people","All areas","Total births","","Non-Indigenous children","Males","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","no.","44689","37400","27458","15306","8928","2410","2531","1178","139900"
"CtG2A.2","2018","Birthweight","0 years old","Females","Non-Indigenous people","All areas","Total births","","Non-Indigenous children","Females","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","no.","41780","35455","25805","14414","8542","2244","2405","1118","131763"
"CtG2A.2","2018","Birthweight","0 years old","Males","Unknown Indigenous status","All areas","Total births","","Indigenous status not stated","Males","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","no.","853","310","2","0","43","200","5","2","1415"
"CtG2A.2","2018","Birthweight","0 years old","Females","Unknown Indigenous status","All areas","Total births","","Indigenous status not stated","Females","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","no.","853","272","5","1","49","197","4","5","1386"
"CtG2A.2","2017","Birthweight","0 years old","Males","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","","Aboriginal and Torres Strait Islander children","Males","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","90.1","88.3","89.8","86.7","88.6","88.1","np","86.5","89.0"
"CtG2A.2","2017","Birthweight","0 years old","Males","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","","Aboriginal and Torres Strait Islander children","Males","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","1.2","2.4","1.2","2.0","2.9","4.8","np","2.6","0.7"
"CtG2A.2","2017","Birthweight","0 years old","Females","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","","Aboriginal and Torres Strait Islander children","Females","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","90.6","89.3","88.3","87.1","88.1","89.1","np","84.9","88.7"
"CtG2A.2","2017","Birthweight","0 years old","Females","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","","Aboriginal and Torres Strait Islander children","Females","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","1.2","2.3","1.3","2.0","3.0","5.4","np","2.8","0.7"
"CtG2A.2","2017","Birthweight","0 years old","Males","Non-Indigenous people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","","Non-Indigenous children","Males","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","94.2","93.7","93.8","94.4","94.2","92.3","93.1","92.8","93.9"
"CtG2A.2","2017","Birthweight","0 years old","Males","Non-Indigenous people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","","Non-Indigenous children","Males","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.2","0.2","0.3","0.4","0.5","1.1","1.0","1.5","0.1"
"CtG2A.2","2017","Birthweight","0 years old","Females","Non-Indigenous people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","","Non-Indigenous children","Females","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","94.3","93.6","93.7","93.7","93.8","91.7","94.0","95.6","93.8"
"CtG2A.2","2017","Birthweight","0 years old","Females","Non-Indigenous people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","","Non-Indigenous children","Females","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.2","0.3","0.3","0.4","0.5","1.1","0.9","1.2","0.1"
"CtG2A.2","2017","Birthweight","0 years old","Males","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of low birthweight (<2500g)","","Aboriginal and Torres Strait Islander children","Males","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","8.2","9.5","8.5","11.3","10.3","np","np","11.9","9.3"
"CtG2A.2","2017","Birthweight","0 years old","Males","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of low birthweight (<2500g)","","Aboriginal and Torres Strait Islander children","Males","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","1.1","2.1","1.1","1.8","2.7","np","np","2.4","0.6"
"CtG2A.2","2017","Birthweight","0 years old","Females","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of low birthweight (<2500g)","","Aboriginal and Torres Strait Islander children","Females","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","8.8","9.8","10.8","12.2","np","np","np","13.3","10.5"
"CtG2A.2","2017","Birthweight","0 years old","Females","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of low birthweight (<2500g)","","Aboriginal and Torres Strait Islander children","Females","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","1.1","2.2","1.2","2.0","np","np","np","2.6","0.7"
"CtG2A.2","2017","Birthweight","0 years old","Males","Non-Indigenous people","All areas","Live-born singleton babies of low birthweight (<2500g)","","Non-Indigenous children","Males","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","4.1","4.5","4.6","4.1","4.3","5.4","4.8","4.6","4.4"
"CtG2A.2","2017","Birthweight","0 years old","Males","Non-Indigenous people","All areas","Live-born singleton babies of low birthweight (<2500g)","","Non-Indigenous children","Males","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.2","0.2","0.2","0.3","0.4","0.9","0.8","1.2","0.1"
"CtG2A.2","2017","Birthweight","0 years old","Females","Non-Indigenous people","All areas","Live-born singleton babies of low birthweight (<2500g)","","Non-Indigenous children","Females","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","4.9","5.6","5.5","5.7","5.5","7.2","np","np","5.4"
"CtG2A.2","2017","Birthweight","0 years old","Females","Non-Indigenous people","All areas","Live-born singleton babies of low birthweight (<2500g)","","Non-Indigenous children","Females","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.2","0.2","0.3","0.4","0.5","1.0","np","np","0.1"
"CtG2A.2","2017","Birthweight","0 years old","Males","Aboriginal and Torres Strait Islander people","All areas","Total births","","Aboriginal and Torres Strait Islander children","Males","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","no.","2560","717","2500","1145","475","177","70","688","8332"
"CtG2A.2","2017","Birthweight","0 years old","Females","Aboriginal and Torres Strait Islander people","All areas","Total births","","Aboriginal and Torres Strait Islander children","Females","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","no.","2456","702","2446","1065","462","128","70","641","7970"
"CtG2A.2","2017","Birthweight","0 years old","Males","Non-Indigenous people","All areas","Total births","","Non-Indigenous children","Males","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","no.","44775","37917","27528","15818","9143","2447","2646","1217","141491"
"CtG2A.2","2017","Birthweight","0 years old","Females","Non-Indigenous people","All areas","Total births","","Non-Indigenous children","Females","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","no.","42618","35603","25441","14892","8552","2431","2519","1167","133223"
"CtG2A.2","2017","Birthweight","0 years old","Males","Unknown Indigenous status","All areas","Total births","","Indigenous status not stated","Males","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","no.","837","301","7","0","66","110","5","2","1328"
"CtG2A.2","2017","Birthweight","0 years old","Females","Unknown Indigenous status","All areas","Total births","","Indigenous status not stated","Females","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","no.","726","276","5","1","47","102","2","2","1161"
"CtG2A.3","2022","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","Major cities","Live-born singleton babies of healthy birthweight (2500-4499g)","","Aboriginal and Torres Strait Islander children","","Major cities","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","90.7","91.7","89.9","84.8","91.0","..","93.7","..","89.9"
"CtG2A.3","2022","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","Major cities","Live-born singleton babies of healthy birthweight (2500-4499g)","","Aboriginal and Torres Strait Islander children","","Major cities","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","1.2","1.9","1.3","2.2","2.2","..","3.6","..","0.7"
"CtG2A.3","2022","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","Inner regional","Live-born singleton babies of healthy birthweight (2500-4499g)","","Aboriginal and Torres Strait Islander children","","Inner regional","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","90.8","91.0","90.3","90.8","94.1","90.9","0","..","90.8"
"CtG2A.3","2022","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","Inner regional","Live-born singleton babies of healthy birthweight (2500-4499g)","","Aboriginal and Torres Strait Islander children","","Inner regional","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","1.2","2.3","1.5","4.1","4.2","3.8","0","..","0.8"
"CtG2A.3","2022","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","Outer regional","Live-born singleton babies of healthy birthweight (2500-4499g)","","Aboriginal and Torres Strait Islander children","","Outer regional","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","89.8","np","89.2","87.9","88.9","np","..","90.2","89.2"
"CtG2A.3","2022","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","Outer regional","Live-born singleton babies of healthy birthweight (2500-4499g)","","Aboriginal and Torres Strait Islander children","","Outer regional","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","2.1","np","1.5","3.6","3.9","np","..","2.9","1.0"
"CtG2A.3","2022","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","Remote","Live-born singleton babies of healthy birthweight (2500-4499g)","","Aboriginal and Torres Strait Islander children","","Remote","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","89.5","np","86.1","83.9","np","np","..","84.8","85.6"
"CtG2A.3","2022","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","Remote","Live-born singleton babies of healthy birthweight (2500-4499g)","","Aboriginal and Torres Strait Islander children","","Remote","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","4.8","np","3.7","3.8","np","np","..","4.1","2.0"
"CtG2A.3","2022","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","Very remote","Live-born singleton babies of healthy birthweight (2500-4499g)","","Aboriginal and Torres Strait Islander children","","Very remote","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","np","..","88.4","82.6","np","0","..","83.1","84.7"
"CtG2A.3","2022","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","Very remote","Live-born singleton babies of healthy birthweight (2500-4499g)","","Aboriginal and Torres Strait Islander children","","Very remote","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","np","..","3.1","3.6","np","0","..","3.1","1.8"
"CtG2A.3","2022","Birthweight","0 years old","All people","Non-Indigenous people","Major cities","Live-born singleton babies of healthy birthweight (2500-4499g)","","Non-Indigenous children","","Major cities","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","94.4","94.2","94.0","93.8","93.9","..","93.4","..","94.1"
"CtG2A.3","2022","Birthweight","0 years old","All people","Non-Indigenous people","Major cities","Live-born singleton babies of healthy birthweight (2500-4499g)","","Non-Indigenous children","","Major cities","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.2","0.2","0.2","0.3","0.4","..","0.7","..","0.1"
"CtG2A.3","2022","Birthweight","0 years old","All people","Non-Indigenous people","Inner regional","Live-born singleton babies of healthy birthweight (2500-4499g)","","Non-Indigenous children","","Inner regional","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","93.9","94.1","93.5","93.1","94.5","93.4","np","..","93.8"
"CtG2A.3","2022","Birthweight","0 years old","All people","Non-Indigenous people","Inner regional","Live-born singleton babies of healthy birthweight (2500-4499g)","","Non-Indigenous children","","Inner regional","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.4","0.4","0.5","1.1","1.0","0.8","np","..","0.2"
"CtG2A.3","2022","Birthweight","0 years old","All people","Non-Indigenous people","Outer regional","Live-born singleton babies of healthy birthweight (2500-4499g)","","Non-Indigenous children","","Outer regional","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","94.6","93.0","93.7","94.4","94.9","92.9","..","93.5","93.9"
"CtG2A.3","2022","Birthweight","0 years old","All people","Non-Indigenous people","Outer regional","Live-born singleton babies of healthy birthweight (2500-4499g)","","Non-Indigenous children","","Outer regional","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.8","1.1","0.6","1.1","1.1","1.4","..","1.2","0.4"
"CtG2A.3","2022","Birthweight","0 years old","All people","Non-Indigenous people","Remote","Live-born singleton babies of healthy birthweight (2500-4499g)","","Non-Indigenous children","","Remote","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","91.7","np","94.4","95.0","94.6","np","..","93.7","94.2"
"CtG2A.3","2022","Birthweight","0 years old","All people","Non-Indigenous people","Remote","Live-born singleton babies of healthy birthweight (2500-4499g)","","Non-Indigenous children","","Remote","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","3.8","np","1.8","1.4","2.1","np","..","2.3","0.9"
"CtG2A.3","2022","Birthweight","0 years old","All people","Non-Indigenous people","Very remote","Live-born singleton babies of healthy birthweight (2500-4499g)","","Non-Indigenous children","","Very remote","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","np","..","93.7","93.7","np","np","..","96.2","94.1"
"CtG2A.3","2022","Birthweight","0 years old","All people","Non-Indigenous people","Very remote","Live-born singleton babies of healthy birthweight (2500-4499g)","","Non-Indigenous children","","Very remote","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","np","..","2.6","2.6","np","np","..","3.6","1.5"
"CtG2A.3","2022","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","Major cities","Live-born singleton babies of low birthweight (<2500g)","","Aboriginal and Torres Strait Islander children","","Major cities","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","7.3","6.4","8.8","13.7","7.9","..","5.2","..","8.5"
"CtG2A.3","2022","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","Major cities","Live-born singleton babies of low birthweight (<2500g)","","Aboriginal and Torres Strait Islander children","","Major cities","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","1.0","1.7","1.2","2.1","2.1","..","3.3","..","0.6"
"CtG2A.3","2022","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","Inner regional","Live-born singleton babies of low birthweight (<2500g)","","Aboriginal and Torres Strait Islander children","","Inner regional","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","8.0","7.0","8.5","8.7","4.3","9.1","0","..","8.0"
"CtG2A.3","2022","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","Inner regional","Live-born singleton babies of low birthweight (<2500g)","","Aboriginal and Torres Strait Islander children","","Inner regional","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","1.2","2.0","1.5","3.9","3.6","3.8","0","..","0.8"
"CtG2A.3","2022","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","Outer regional","Live-born singleton babies of low birthweight (<2500g)","","Aboriginal and Torres Strait Islander children","","Outer regional","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","9.1","np","9.8","10.8","10.7","np","..","8.8","9.8"
