"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Description1","Description2","Description3","Description4","Description5","Description6","Description7","Description8","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"CtG17A.5","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Has personally used the internet in the last 3 months","Most disadvantaged","","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","72.4","20.2","92.1","27.2","15.4","11.8","np","21.9","261.1"
"CtG17A.5","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Has personally used the internet in the last 3 months","Second most disadvantaged","","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","47.6","13.2","43.5","16.1","7.0","3.0","np","9.0","138.6"
"CtG17A.5","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Has personally used the internet in the last 3 months","Middle 20%","","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","39.7","7.5","14.4","12.5","6.5","2.6","np","1.6","86.3"
"CtG17A.5","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Has personally used the internet in the last 3 months","Second least disadvantaged","","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","21.3","6.6","11.9","6.7","2.8","3.9","np","3.9","62.4"
"CtG17A.5","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Has personally used the internet in the last 3 months","Least disadvantaged","","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","25.6","2.0","4.4","5.2","1.3","0.2","np","1.8","39.4"
"CtG17A.5","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Total people aged 15 years and over","Most disadvantaged","","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","85.5","22.6","102.9","33.4","17.1","12.8","np","36.7","311.4"
"CtG17A.5","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Total people aged 15 years and over","Second most disadvantaged","","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","50.5","13.9","44.7","18.8","7.0","2.9","np","9.9","149.3"
"CtG17A.5","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Total people aged 15 years and over","Middle 20%","","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","44.7","8.3","15.7","14.8","7.1","3.6","np","1.6","95.9"
"CtG17A.5","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Total people aged 15 years and over","Second least disadvantaged","","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","21.9","6.8","13.6","7.1","2.8","4.5","np","3.9","65.0"
"CtG17A.5","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Total people aged 15 years and over","Least disadvantaged","","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","27.8","2.2","6.8","5.6","1.3","0.2","np","2.0","43.6"
"CtG17A.6","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","Has a disability","","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","%","82.2","92.0","88.9","77.5","89.6","89.0","np","63.5","84.3"
"CtG17A.6","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","Has a disability","","15+ years old","95%CI","Derived from ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","% (±)","5.8","4.9","9.1","9.6","9.6","6.9","np","10.2","3.8"
"CtG17A.6","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","Has a disability","Has a profound/severe core activity limitation","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","%","68.9","77.1","70.6","51.0","89.2","78.6","np","46.2","69.8"
"CtG17A.6","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","Has a disability","Has a profound/severe core activity limitation","15+ years old","95%CI","Derived from ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","% (±)","12.4","22.5","32.2","0","28.1","np","np","33.7","11.0"
"CtG17A.6","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","Has a disability","Has a moderate/mild core activity limitation","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","%","73.6","90.4","83.0","70.5","90.6","89.7","np","54.7","78.3"
"CtG17A.6","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","Has a disability","Has a moderate/mild core activity limitation","15+ years old","95%CI","Derived from ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","% (±)","11.8","9.9","17.4","18.2","18.3","14.3","np","13.2","7.0"
"CtG17A.6","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","Has a disability","Has a schooling/employment restriction","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","%","83.2","92.5","83.3","104.7","95.3","105.0","np","71.4","91.6"
"CtG17A.6","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","Has a disability","Has a schooling/employment restriction","15+ years old","95%CI","Derived from ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","% (±)","15.5","16.0","23.0","0","13.7","0","np","29.4","7.6"
"CtG17A.6","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","Has a disability","Has an impairment with no specific limitation or restriction","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","%","95.8","93.8","98.6","87.8","100.0","103.7","np","73.4","94.1"
"CtG17A.6","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","Has a disability","Has an impairment with no specific limitation or restriction","15+ years old","95%CI","Derived from ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","% (±)","7.2","11.9","4.6","13.3","16.2","0","np","7.5","4.0"
"CtG17A.6","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","Does not have a disability","","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","%","93.8","95.5","93.2","90.4","90.1","93.7","np","74.9","91.6"
"CtG17A.6","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","Does not have a disability","","15+ years old","95%CI","Derived from ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","% (±)","24.5","39.0","41.7","29.4","30.7","64.1","np","11.7","13.4"
"CtG17A.6","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Has personally used the internet in the last 3 months","Has a disability","","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","85.2","26.6","73.1","24.5","15.5","11.3","np","12.2","250.8"
"CtG17A.6","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Has personally used the internet in the last 3 months","Has a disability","Has a profound/severe core activity limitation","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","11.3","3.7","8.4","2.5","3.3","1.1","np","1.8","33.0"
"CtG17A.6","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Has personally used the internet in the last 3 months","Has a disability","Has a moderate/mild core activity limitation","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","30.4","10.3","17.6","7.4","5.8","5.2","np","2.9","80.8"
"CtG17A.6","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Has personally used the internet in the last 3 months","Has a disability","Has a schooling/employment restriction","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","13.9","6.2","17.4","4.5","4.1","2.1","np","1.5","52.3"
"CtG17A.6","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Has personally used the internet in the last 3 months","Has a disability","Has an impairment with no specific limitation or restriction","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","29.3","6.1","27.8","10.1","2.4","2.8","np","5.8","84.7"
"CtG17A.6","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Has personally used the internet in the last 3 months","Does not have a disability","","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","120.2","23.6","94.7","43.2","16.4","10.4","np","25.9","338.5"
"CtG17A.6","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Total people aged 15 years and over","Has a disability","","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","103.7","28.9","82.2","31.6","17.3","12.7","np","19.2","297.4"
"CtG17A.6","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Total people aged 15 years and over","Has a disability","Has a profound/severe core activity limitation","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","16.4","4.8","11.9","4.9","3.7","1.4","np","3.9","47.3"
"CtG17A.6","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Total people aged 15 years and over","Has a disability","Has a moderate/mild core activity limitation","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","41.3","11.4","21.2","10.5","6.4","5.8","np","5.3","103.2"
"CtG17A.6","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Total people aged 15 years and over","Has a disability","Has a schooling/employment restriction","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","16.7","6.7","20.9","4.3","4.3","2.0","np","2.1","57.1"
"CtG17A.6","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Total people aged 15 years and over","Has a disability","Has an impairment with no specific limitation or restriction","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","30.6","6.5","28.2","11.5","2.4","2.7","np","7.9","90.0"
"CtG17A.6","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Total people aged 15 years and over","Does not have a disability","","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","128.2","24.7","101.6","47.8","18.2","11.1","np","34.6","369.7"
"CtG17A.7","2014-15","People aged 15 years or over who accessed the internet at home in last 12 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Internet accessed at home","","","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Social Survey","%","79.9","89.5","76.1","66.0","73.4","85.0","91.1","40.9","73.5"
"CtG17A.7","2014-15","People aged 15 years or over who accessed the internet at home in last 12 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Internet accessed at home","","","15+ years old","95%CI","Derived from ABS (unpublished) National Aboriginal and Torres Strait Islander Social Survey","% (±)","2.8","2.5","4.5","4.9","5.2","3.2","3.2","5.6","1.7"
"CtG17A.7","2014-15","People aged 15 years or over who accessed the internet at home in last 12 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Internet accessed but not at home","","","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Social Survey","%","3.5","1.5","5.6","7.4","4.4","2.4","2.2","10.3","5.1"
"CtG17A.7","2014-15","People aged 15 years or over who accessed the internet at home in last 12 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Internet accessed but not at home","","","15+ years old","95%CI","Derived from ABS (unpublished) National Aboriginal and Torres Strait Islander Social Survey","% (±)","1.4","1.3","2.5","2.8","2.5","1.5","1.5","2.9","0.9"
"CtG17A.7","2014-15","People aged 15 years or over who accessed the internet at home in last 12 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Internet not accessed / not known if internet accessed in last 12 months","","","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Social Survey","%","16.9","9.0","18.5","26.2","23.4","12.0","6.7","48.9","21.5"
"CtG17A.7","2014-15","People aged 15 years or over who accessed the internet at home in last 12 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Internet not accessed / not known if internet accessed in last 12 months","","","15+ years old","95%CI","Derived from ABS (unpublished) National Aboriginal and Torres Strait Islander Social Survey","% (±)","2.5","2.1","3.0","3.9","4.8","3.0","3.1","5.8","1.4"
"CtG17A.7","2014-15","People aged 15 years or over who accessed the internet at home in last 12 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Internet accessed at home","","","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Social Survey","'000","110.7","28.9","93.7","37.5","18.2","14.2","4.1","19.0","325.7"
"CtG17A.7","2014-15","People aged 15 years or over who accessed the internet at home in last 12 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Internet accessed but not at home","","","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Social Survey","'000","4.8","0.5","6.9","4.2","1.1","0.4","0.1","4.8","22.4"
"CtG17A.7","2014-15","People aged 15 years or over who accessed the internet at home in last 12 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Internet not accessed / not known if internet accessed in last 12 months","","","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Social Survey","'000","23.4","2.9","22.8","14.9","5.8","2.0","0.3","22.7","95.3"
"CtG17A.7","2014-15","People aged 15 years or over who accessed the internet at home in last 12 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Total","","","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Social Survey","'000","138.5","32.3","123.1","56.8","24.8","16.7","4.5","46.4","443.4"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Aboriginal and Torres Strait Islander people","Major cities","Australian Digital Inclusion Index (ADII)","","Aboriginal and Torres Strait Islander","Access score","Major cities","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","69.2"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Aboriginal and Torres Strait Islander people","Major cities","Australian Digital Inclusion Index (ADII)","","Aboriginal and Torres Strait Islander","Affordability score","Major cities","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","89.0"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Aboriginal and Torres Strait Islander people","Major cities","Australian Digital Inclusion Index (ADII)","","Aboriginal and Torres Strait Islander","Digital ability score","Major cities","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","69.6"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Aboriginal and Torres Strait Islander people","Major cities","Australian Digital Inclusion Index (ADII)","","Aboriginal and Torres Strait Islander","Total index score","Major cities","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","71.6"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Non-Indigenous people","Major cities","Australian Digital Inclusion Index (ADII)","","Non-Indigenous people","Access score","Major cities","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","73.4"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Non-Indigenous people","Major cities","Australian Digital Inclusion Index (ADII)","","Non-Indigenous people","Affordability score","Major cities","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","95.3"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Non-Indigenous people","Major cities","Australian Digital Inclusion Index (ADII)","","Non-Indigenous people","Digital ability score","Major cities","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","66.9"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Non-Indigenous people","Major cities","Australian Digital Inclusion Index (ADII)","","Non-Indigenous people","Total index score","Major cities","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","74.7"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Aboriginal and Torres Strait Islander people","Inner regional","Australian Digital Inclusion Index (ADII)","","Aboriginal and Torres Strait Islander","Access score","Inner regional","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","np"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Aboriginal and Torres Strait Islander people","Inner regional","Australian Digital Inclusion Index (ADII)","","Aboriginal and Torres Strait Islander","Affordability score","Inner regional","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","np"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Aboriginal and Torres Strait Islander people","Inner regional","Australian Digital Inclusion Index (ADII)","","Aboriginal and Torres Strait Islander","Digital ability score","Inner regional","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","np"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Aboriginal and Torres Strait Islander people","Inner regional","Australian Digital Inclusion Index (ADII)","","Aboriginal and Torres Strait Islander","Total index score","Inner regional","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","np"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Non-Indigenous people","Inner regional","Australian Digital Inclusion Index (ADII)","","Non-Indigenous people","Access score","Inner regional","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","np"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Non-Indigenous people","Inner regional","Australian Digital Inclusion Index (ADII)","","Non-Indigenous people","Affordability score","Inner regional","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","np"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Non-Indigenous people","Inner regional","Australian Digital Inclusion Index (ADII)","","Non-Indigenous people","Digital ability score","Inner regional","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","np"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Non-Indigenous people","Inner regional","Australian Digital Inclusion Index (ADII)","","Non-Indigenous people","Total index score","Inner regional","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","np"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Aboriginal and Torres Strait Islander people","Outer regional","Australian Digital Inclusion Index (ADII)","","Aboriginal and Torres Strait Islander","Access score","Outer regional","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","70.4"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Aboriginal and Torres Strait Islander people","Outer regional","Australian Digital Inclusion Index (ADII)","","Aboriginal and Torres Strait Islander","Affordability score","Outer regional","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","85.0"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Aboriginal and Torres Strait Islander people","Outer regional","Australian Digital Inclusion Index (ADII)","","Aboriginal and Torres Strait Islander","Digital ability score","Outer regional","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","48.3"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Aboriginal and Torres Strait Islander people","Outer regional","Australian Digital Inclusion Index (ADII)","","Aboriginal and Torres Strait Islander","Total index score","Outer regional","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","61.4"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Non-Indigenous people","Outer regional","Australian Digital Inclusion Index (ADII)","","Non-Indigenous people","Access score","Outer regional","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","66.2"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Non-Indigenous people","Outer regional","Australian Digital Inclusion Index (ADII)","","Non-Indigenous people","Affordability score","Outer regional","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","94.3"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Non-Indigenous people","Outer regional","Australian Digital Inclusion Index (ADII)","","Non-Indigenous people","Digital ability score","Outer regional","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","55.0"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Non-Indigenous people","Outer regional","Australian Digital Inclusion Index (ADII)","","Non-Indigenous people","Total index score","Outer regional","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","66.7"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Aboriginal and Torres Strait Islander people","Remote","Australian Digital Inclusion Index (ADII)","","Aboriginal and Torres Strait Islander","Access score","Remote","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","34.6"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Aboriginal and Torres Strait Islander people","Remote","Australian Digital Inclusion Index (ADII)","","Aboriginal and Torres Strait Islander","Affordability score","Remote","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","94.7"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Aboriginal and Torres Strait Islander people","Remote","Australian Digital Inclusion Index (ADII)","","Aboriginal and Torres Strait Islander","Digital ability score","Remote","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","42.2"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Aboriginal and Torres Strait Islander people","Remote","Australian Digital Inclusion Index (ADII)","","Aboriginal and Torres Strait Islander","Total index score","Remote","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","49.0"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Non-Indigenous people","Remote","Australian Digital Inclusion Index (ADII)","","Non-Indigenous people","Access score","Remote","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","67.9"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Non-Indigenous people","Remote","Australian Digital Inclusion Index (ADII)","","Non-Indigenous people","Affordability score","Remote","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","95.3"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Non-Indigenous people","Remote","Australian Digital Inclusion Index (ADII)","","Non-Indigenous people","Digital ability score","Remote","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","62.0"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Non-Indigenous people","Remote","Australian Digital Inclusion Index (ADII)","","Non-Indigenous people","Total index score","Remote","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","70.6"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Aboriginal and Torres Strait Islander people","Very remote","Australian Digital Inclusion Index (ADII)","","Aboriginal and Torres Strait Islander","Access score","Very remote","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","34.1"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Aboriginal and Torres Strait Islander people","Very remote","Australian Digital Inclusion Index (ADII)","","Aboriginal and Torres Strait Islander","Affordability score","Very remote","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","88.7"
"SE17a.1","2023","Levels of Digital Inclusion","All ages","All people","Aboriginal and Torres Strait Islander people","Very remote","Australian Digital Inclusion Index (ADII)","","Aboriginal and Torres Strait Islander","Digital ability score","Very remote","","","","","ARCADMS Australian Digital Inclusion Index","Index","","","","","","","","","46.1"
