"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Description1","Description2","Description3","Description4","Description5","Description6","Description7","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Total_5juris","Total_6juris","Aust"
"CtG14A.4","2021","Mortality due to suicide","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Number","Aboriginal and Torres Strait Islander people","Males","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","137","154",""
"CtG14A.4","2021","Mortality due to suicide","All ages","Males","Non-Indigenous people","All areas","Suicide deaths","","Number","Non-Indigenous people","Males","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","1620","2115",""
"CtG14A.4","2021","Mortality due to suicide","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Females","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","14.3","14.2",""
"CtG14A.4","2021","Mortality due to suicide","All ages","Females","Non-Indigenous people","All areas","Suicide deaths","","Rate per 100000 people","Non-Indigenous people","Females","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","6.1","5.7",""
"CtG14A.4","2021","Mortality due to suicide","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Number","Aboriginal and Torres Strait Islander people","Females","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","61","66",""
"CtG14A.4","2021","Mortality due to suicide","All ages","Females","Non-Indigenous people","All areas","Suicide deaths","","Number","Non-Indigenous people","Females","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","537","690",""
"CtG14A.4","2020","Mortality due to suicide","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Males","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","39.3","39.7",""
"CtG14A.4","2020","Mortality due to suicide","All ages","Males","Non-Indigenous people","All areas","Suicide deaths","","Rate per 100000 people","Non-Indigenous people","Males","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","18.6","17.6",""
"CtG14A.4","2020","Mortality due to suicide","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Number","Aboriginal and Torres Strait Islander people","Males","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","150","164",""
"CtG14A.4","2020","Mortality due to suicide","All ages","Males","Non-Indigenous people","All areas","Suicide deaths","","Number","Non-Indigenous people","Males","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","1611","2113",""
"CtG14A.4","2020","Mortality due to suicide","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Females","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","12.4","13.1",""
"CtG14A.4","2020","Mortality due to suicide","All ages","Females","Non-Indigenous people","All areas","Suicide deaths","","Rate per 100000 people","Non-Indigenous people","Females","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","5.7","5.4",""
"CtG14A.4","2020","Mortality due to suicide","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Number","Aboriginal and Torres Strait Islander people","Females","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","51","59",""
"CtG14A.4","2020","Mortality due to suicide","All ages","Females","Non-Indigenous people","All areas","Suicide deaths","","Number","Non-Indigenous people","Females","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","505","660",""
"CtG14A.4","2019","Mortality due to suicide","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Males","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","35.8","36.6",""
"CtG14A.4","2019","Mortality due to suicide","All ages","Males","Non-Indigenous people","All areas","Suicide deaths","","Rate per 100000 people","Non-Indigenous people","Males","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","20.0","19.0",""
"CtG14A.4","2019","Mortality due to suicide","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Number","Aboriginal and Torres Strait Islander people","Males","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","137","152",""
"CtG14A.4","2019","Mortality due to suicide","All ages","Males","Non-Indigenous people","All areas","Suicide deaths","","Number","Non-Indigenous people","Males","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","1711","2247",""
"CtG14A.4","2019","Mortality due to suicide","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Females","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","13.7","14.4",""
"CtG14A.4","2019","Mortality due to suicide","All ages","Females","Non-Indigenous people","All areas","Suicide deaths","","Rate per 100000 people","Non-Indigenous people","Females","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","6.1","5.8",""
"CtG14A.4","2019","Mortality due to suicide","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Number","Aboriginal and Torres Strait Islander people","Females","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","58","66",""
"CtG14A.4","2019","Mortality due to suicide","All ages","Females","Non-Indigenous people","All areas","Suicide deaths","","Number","Non-Indigenous people","Females","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","532","700",""
"CtG14A.4","2018","Mortality due to suicide","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Males","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","34.8","36.6",""
"CtG14A.4","2018","Mortality due to suicide","All ages","Males","Non-Indigenous people","All areas","Suicide deaths","","Rate per 100000 people","Non-Indigenous people","Males","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","19.7","18.5",""
"CtG14A.4","2018","Mortality due to suicide","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Number","Aboriginal and Torres Strait Islander people","Males","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","131","149",""
"CtG14A.4","2018","Mortality due to suicide","All ages","Males","Non-Indigenous people","All areas","Suicide deaths","","Number","Non-Indigenous people","Males","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","1661","2150",""
"CtG14A.4","2018","Mortality due to suicide","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Females","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","10.8","10.8",""
"CtG14A.4","2018","Mortality due to suicide","All ages","Females","Non-Indigenous people","All areas","Suicide deaths","","Rate per 100000 people","Non-Indigenous people","Females","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","5.9","5.7",""
"CtG14A.4","2018","Mortality due to suicide","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Number","Aboriginal and Torres Strait Islander people","Females","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","43","47",""
"CtG14A.4","2018","Mortality due to suicide","All ages","Females","Non-Indigenous people","All areas","Suicide deaths","","Number","Non-Indigenous people","Females","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","511","681",""
"CtG14A.4","2017","Mortality due to suicide","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Males","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","33.8","np",""
"CtG14A.4","2017","Mortality due to suicide","All ages","Males","Non-Indigenous people","All areas","Suicide deaths","","Rate per 100000 people","Non-Indigenous people","Males","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","20.2","np",""
"CtG14A.4","2017","Mortality due to suicide","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Number","Aboriginal and Torres Strait Islander people","Males","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","125","np",""
"CtG14A.4","2017","Mortality due to suicide","All ages","Males","Non-Indigenous people","All areas","Suicide deaths","","Number","Non-Indigenous people","Males","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","1685","np",""
"CtG14A.4","2017","Mortality due to suicide","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Females","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","10.2","np",""
"CtG14A.4","2017","Mortality due to suicide","All ages","Females","Non-Indigenous people","All areas","Suicide deaths","","Rate per 100000 people","Non-Indigenous people","Females","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","6.4","np",""
"CtG14A.4","2017","Mortality due to suicide","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Number","Aboriginal and Torres Strait Islander people","Females","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","40","np",""
"CtG14A.4","2017","Mortality due to suicide","All ages","Females","Non-Indigenous people","All areas","Suicide deaths","","Number","Non-Indigenous people","Females","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","550","np",""
"CtG14A.4","2016","Mortality due to suicide","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Males","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","32.8","np",""
"CtG14A.4","2016","Mortality due to suicide","All ages","Males","Non-Indigenous people","All areas","Suicide deaths","","Rate per 100000 people","Non-Indigenous people","Males","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","18.0","np",""
"CtG14A.4","2016","Mortality due to suicide","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Number","Aboriginal and Torres Strait Islander people","Males","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","117","np",""
"CtG14A.4","2016","Mortality due to suicide","All ages","Males","Non-Indigenous people","All areas","Suicide deaths","","Number","Non-Indigenous people","Males","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","1470","np",""
"CtG14A.4","2016","Mortality due to suicide","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Females","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","10.2","np",""
"CtG14A.4","2016","Mortality due to suicide","All ages","Females","Non-Indigenous people","All areas","Suicide deaths","","Rate per 100000 people","Non-Indigenous people","Females","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","5.6","np",""
"CtG14A.4","2016","Mortality due to suicide","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Number","Aboriginal and Torres Strait Islander people","Females","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","43","np",""
"CtG14A.4","2016","Mortality due to suicide","All ages","Females","Non-Indigenous people","All areas","Suicide deaths","","Number","Non-Indigenous people","Females","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","469","np",""
"CtG14A.4","2015","Mortality due to suicide","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Males","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","33.0","np",""
"CtG14A.4","2015","Mortality due to suicide","All ages","Males","Non-Indigenous people","All areas","Suicide deaths","","Rate per 100000 people","Non-Indigenous people","Males","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","19.5","np",""
"CtG14A.4","2015","Mortality due to suicide","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Number","Aboriginal and Torres Strait Islander people","Males","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","111","np",""
"CtG14A.4","2015","Mortality due to suicide","All ages","Males","Non-Indigenous people","All areas","Suicide deaths","","Number","Non-Indigenous people","Males","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","1582","np",""
"CtG14A.4","2015","Mortality due to suicide","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Females","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","11.2","np",""
"CtG14A.4","2015","Mortality due to suicide","All ages","Females","Non-Indigenous people","All areas","Suicide deaths","","Rate per 100000 people","Non-Indigenous people","Females","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","6.3","np",""
"CtG14A.4","2015","Mortality due to suicide","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Number","Aboriginal and Torres Strait Islander people","Females","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","43","np",""
"CtG14A.4","2015","Mortality due to suicide","All ages","Females","Non-Indigenous people","All areas","Suicide deaths","","Number","Non-Indigenous people","Females","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","522","np",""
"CtG14A.4","2014","Mortality due to suicide","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Males","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","29.4","np",""
"CtG14A.4","2014","Mortality due to suicide","All ages","Males","Non-Indigenous people","All areas","Suicide deaths","","Rate per 100000 people","Non-Indigenous people","Males","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","18.4","np",""
"CtG14A.4","2014","Mortality due to suicide","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Number","Aboriginal and Torres Strait Islander people","Males","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","104","np",""
"CtG14A.4","2014","Mortality due to suicide","All ages","Males","Non-Indigenous people","All areas","Suicide deaths","","Number","Non-Indigenous people","Males","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","1478","np",""
"CtG14A.4","2014","Mortality due to suicide","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Females","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","11.2","np",""
"CtG14A.4","2014","Mortality due to suicide","All ages","Females","Non-Indigenous people","All areas","Suicide deaths","","Rate per 100000 people","Non-Indigenous people","Females","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","6.0","np",""
"CtG14A.4","2014","Mortality due to suicide","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Number","Aboriginal and Torres Strait Islander people","Females","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","44","np",""
"CtG14A.4","2014","Mortality due to suicide","All ages","Females","Non-Indigenous people","All areas","Suicide deaths","","Number","Non-Indigenous people","Females","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","487","np",""
"CtG14A.4","2013","Mortality due to suicide","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Males","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","29.9","np",""
"CtG14A.4","2013","Mortality due to suicide","All ages","Males","Non-Indigenous people","All areas","Suicide deaths","","Rate per 100000 people","Non-Indigenous people","Males","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","16.9","np",""
"CtG14A.4","2013","Mortality due to suicide","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Number","Aboriginal and Torres Strait Islander people","Males","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","101","np",""
"CtG14A.4","2013","Mortality due to suicide","All ages","Males","Non-Indigenous people","All areas","Suicide deaths","","Number","Non-Indigenous people","Males","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","1341","np",""
"CtG14A.4","2013","Mortality due to suicide","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Females","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","10.9","np",""
"CtG14A.4","2013","Mortality due to suicide","All ages","Females","Non-Indigenous people","All areas","Suicide deaths","","Rate per 100000 people","Non-Indigenous people","Females","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","5.6","np",""
"CtG14A.4","2013","Mortality due to suicide","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Number","Aboriginal and Torres Strait Islander people","Females","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","39","np",""
"CtG14A.4","2013","Mortality due to suicide","All ages","Females","Non-Indigenous people","All areas","Suicide deaths","","Number","Non-Indigenous people","Females","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","451","np",""
"CtG14A.4","2012","Mortality due to suicide","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Males","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","23.9","np",""
"CtG14A.4","2012","Mortality due to suicide","All ages","Males","Non-Indigenous people","All areas","Suicide deaths","","Rate per 100000 people","Non-Indigenous people","Males","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","17.4","np",""
"CtG14A.4","2012","Mortality due to suicide","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Number","Aboriginal and Torres Strait Islander people","Males","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","82","np",""
"CtG14A.4","2012","Mortality due to suicide","All ages","Males","Non-Indigenous people","All areas","Suicide deaths","","Number","Non-Indigenous people","Males","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","1353","np",""
"CtG14A.4","2012","Mortality due to suicide","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Females","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","10.1","np",""
"CtG14A.4","2012","Mortality due to suicide","All ages","Females","Non-Indigenous people","All areas","Suicide deaths","","Rate per 100000 people","Non-Indigenous people","Females","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","5.7","np",""
"CtG14A.4","2012","Mortality due to suicide","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Number","Aboriginal and Torres Strait Islander people","Females","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","38","np",""
"CtG14A.4","2012","Mortality due to suicide","All ages","Females","Non-Indigenous people","All areas","Suicide deaths","","Number","Non-Indigenous people","Females","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","453","np",""
"CtG14A.4","2011","Mortality due to suicide","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Males","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","28.3","np",""
"CtG14A.4","2011","Mortality due to suicide","All ages","Males","Non-Indigenous people","All areas","Suicide deaths","","Rate per 100000 people","Non-Indigenous people","Males","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","15.8","np",""
"CtG14A.4","2011","Mortality due to suicide","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Number","Aboriginal and Torres Strait Islander people","Males","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","96","np",""
"CtG14A.4","2011","Mortality due to suicide","All ages","Males","Non-Indigenous people","All areas","Suicide deaths","","Number","Non-Indigenous people","Males","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","1214","np",""
"CtG14A.4","2011","Mortality due to suicide","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Females","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","12.6","np",""
"CtG14A.4","2011","Mortality due to suicide","All ages","Females","Non-Indigenous people","All areas","Suicide deaths","","Rate per 100000 people","Non-Indigenous people","Females","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","4.8","np",""
"CtG14A.4","2011","Mortality due to suicide","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","","Number","Aboriginal and Torres Strait Islander people","Females","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","40","np",""
"CtG14A.4","2011","Mortality due to suicide","All ages","Females","Non-Indigenous people","All areas","Suicide deaths","","Number","Non-Indigenous people","Females","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","373","np",""
"CtG14A.5","2019-2023","Mortality due to suicide","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Males","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","34.0","48.3","38.8","53.6","46.8","np","np","48.4","40.4","41.0",""
"CtG14A.5","2019-2023","Mortality due to suicide","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Females","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","9.9","18.9","13.9","16.3","15.7","np","np","20.3","13.3","13.8",""
"CtG14A.5","2019-2023","Mortality due to suicide","All ages","Males","Non-Indigenous people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","Males","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","15.9","15.7","22.3","20.2","19.7","np","np","17.0","18.7","17.9",""
"CtG14A.5","2019-2023","Mortality due to suicide","All ages","Females","Non-Indigenous people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","Females","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","4.9","5.0","6.7","6.9","5.7","np","np","7.8","5.8","5.6",""
"CtG14A.5","2019-2023","Mortality due to suicide","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Number","Aboriginal and Torres Strait Islander people","Males","","","","ABS (unpublished) Causes of Death Australia","no.","240","82","236","148","50","19","6","89","np","np",""
"CtG14A.5","2019-2023","Mortality due to suicide","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Number","Aboriginal and Torres Strait Islander people","Females","","","","ABS (unpublished) Causes of Death Australia","no.","74","36","93","48","22","2","3","46","np","np",""
"CtG14A.5","2019-2023","Mortality due to suicide","All ages","Males","Non-Indigenous people","All areas","Suicide deaths","Five-year aggregate","Number","Non-Indigenous people","Males","","","","ABS (unpublished) Causes of Death Australia","no.","3202","2598","2748","1302","851","304","178","75","np","np",""
"CtG14A.5","2019-2023","Mortality due to suicide","All ages","Females","Non-Indigenous people","All areas","Suicide deaths","Five-year aggregate","Number","Non-Indigenous people","Females","","","","ABS (unpublished) Causes of Death Australia","no.","990","859","857","446","251","110","79","31","np","np",""
"CtG14A.5","2018-2022","Mortality due to suicide","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Males","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","30.0","48.9","38.4","51.3","32.0","np","np","50.2","37.7","38.6",""
"CtG14A.5","2018-2022","Mortality due to suicide","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Females","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","9.7","17.1","13.3","18.6","np","np","np","17.2","12.8","13.2",""
"CtG14A.5","2018-2022","Mortality due to suicide","All ages","Males","Non-Indigenous people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","Males","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","16.3","15.3","22.9","19.9","19.6","np","np","18.0","19.0","18.0",""
"CtG14A.5","2018-2022","Mortality due to suicide","All ages","Females","Non-Indigenous people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","Females","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","5.1","4.8","6.5","6.7","5.9","np","np","8.5","5.9","5.6",""
"CtG14A.5","2018-2022","Mortality due to suicide","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Number","Aboriginal and Torres Strait Islander people","Males","","","","ABS (unpublished) Causes of Death Australia","no.","207","82","235","145","36","11","7","92","np","np",""
"CtG14A.5","2018-2022","Mortality due to suicide","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Number","Aboriginal and Torres Strait Islander people","Females","","","","ABS (unpublished) Causes of Death Australia","no.","70","32","89","53","15","1","4","39","np","np",""
"CtG14A.5","2018-2022","Mortality due to suicide","All ages","Males","Non-Indigenous people","All areas","Suicide deaths","Five-year aggregate","Number","Non-Indigenous people","Males","","","","ABS (unpublished) Causes of Death Australia","no.","3257","2550","2791","1273","846","307","190","81","np","np",""
"CtG14A.5","2018-2022","Mortality due to suicide","All ages","Females","Non-Indigenous people","All areas","Suicide deaths","Five-year aggregate","Number","Non-Indigenous people","Females","","","","ABS (unpublished) Causes of Death Australia","no.","1044","832","829","431","256","104","80","32","np","np",""
"CtG14A.5","2017-2021","Mortality due to suicide","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Males","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","28.7","np","39.0","44.4","27.6","np","np","49.0","36.1","np",""
"CtG14A.5","2017-2021","Mortality due to suicide","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Females","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","8.0","np","12.6","19.5","np","np","np","16.5","12.3","np",""
"CtG14A.5","2017-2021","Mortality due to suicide","All ages","Males","Non-Indigenous people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","Males","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","16.5","np","23.5","20.7","19.4","np","np","17.0","19.4","np",""
"CtG14A.5","2017-2021","Mortality due to suicide","All ages","Females","Non-Indigenous people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","Females","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","5.2","np","6.8","6.9","5.8","np","np","9.8","6.0","np",""
"CtG14A.5","2017-2021","Mortality due to suicide","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Number","Aboriginal and Torres Strait Islander people","Males","","","","ABS (unpublished) Causes of Death Australia","no.","198","68","233","124","32","9","8","93","np","np",""
"CtG14A.5","2017-2021","Mortality due to suicide","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Number","Aboriginal and Torres Strait Islander people","Females","","","","ABS (unpublished) Causes of Death Australia","no.","57","27","85","55","19","2","1","37","np","np",""
